track_id,title,orchestra,singer,genre,year,record_date,energy,rhythmic_level,dramatic_level,walking_quality,late_night_score,beginner_friendly,confidence,floor_risk,recommended_slot,style_tags,annotation_status,dj_notes,record_date_raw,composer,author,tanda_use_case,dj_review_notes,style_raw,month,day,date_precision,soloist,director,instrumental_flag,dance_genre_flag,golden_age_flag,period_bucket,dj_energy_default,dj_rhythmic_level_default,dj_dramatic_level_default,dj_walking_quality_default,dj_late_night_score_default,dj_style_tags_default,source_row_id
089f608825ae,El Aeroplano,Adolfo Carabelli,,VALS,1927,1927-11-02,6,6,4,8,5,6,low,normal,general,genel,auto_heuristic_review_needed,Profil manuel kontrol edilmeli.,1927-11-02,Pedro Datta,,general,,VALS,11.0,2.0,full,,,Y,Y,N,pre_golden_age,4,4,5,4,5,,1
816a5332326e,Cantando,Adolfo Carabelli,Alberto Gomez y Mercedes Simone,TANGO,1931,1931-09-04,5,5,5,5,5,6,low,weak_walkability,general,genel,auto_heuristic_review_needed,Profil manuel kontrol edilmeli.,1931-09-04,Mercedes Simone,Mercedes Simone,general,,TANGO,9.0,4.0,full,,,N,Y,Y,early_golden_age,5,5,5,5,5,,3
dd119587425e,Mi Refugio,Adolfo Carabelli,Alberto Gomez,TANGO,1931,1931-09-04,5,5,5,5,5,6,low,weak_walkability,general,genel,auto_heuristic_review_needed,Profil manuel kontrol edilmeli.,1931-09-04,Juan Carlos Cobián,Pedro Numa Córdoba,general,,TANGO,9.0,4.0,full,,,N,Y,Y,early_golden_age,5,5,5,5,5,,4
0c9e865c169d,Mentira,Adolfo Carabelli,Carlos Lafuente,TANGO,1931,1931-10-02,5,5,5,5,5,6,low,weak_walkability,general,genel,auto_heuristic_review_needed,Profil manuel kontrol edilmeli.,1931-10-02,Francisco Pracánico,Celedonio Flores,general,,TANGO,10.0,2.0,full,,,N,Y,Y,early_golden_age,5,5,5,5,5,,6
9be1478278d1,Por Qué,Adolfo Carabelli,Alberto Gomez,TANGO,1931,1931-11-02,5,5,5,5,5,6,low,weak_walkability,general,genel,auto_heuristic_review_needed,Profil manuel kontrol edilmeli.,1931-11-02,Osvaldo Fresedo,Emilio Fresedo,general,,TANGO,11.0,2.0,full,,,N,Y,Y,early_golden_age,5,5,5,5,5,,9
6470f37e66d8,El Pensamiento (2),Adolfo Carabelli,Carlos Lafuente,TANGO,1932,,5,5,5,5,5,6,low,weak_walkability,general,genel,auto_heuristic_review_needed,Profil manuel kontrol edilmeli.,1932-00-00,José Martínez,Francisco García Jiménez,general,,TANGO,,,year,,,N,Y,Y,early_golden_age,5,5,5,5,5,,12
3f4113167681,Jamás Podré Olvidarte,Adolfo Carabelli,Alberto Gomez,VALS,1932,,6,6,4,8,5,6,low,normal,general,genel,auto_heuristic_review_needed,Profil manuel kontrol edilmeli.,1932-00-00,Julio de Caro,Mario César Gomila,general,,VALS,,,year,,,N,Y,Y,early_golden_age,4,4,5,4,5,,13
72a90244e93b,Milonga Sentimental,Adolfo Carabelli,Carlos Lafuente,MILONGA,1932,,8,9,3,8,5,6,low,normal,energy_peak,genel,auto_heuristic_review_needed,Profil manuel kontrol edilmeli.,1932-00-00,Sebastián Piana,Homero Manzi,general,,MILONGA,,,year,,,N,Y,Y,early_golden_age,6,6,5,4,5,,14
7f4e377463e8,Tango del Querer,Adolfo Carabelli,Alberto Gomez y Alberto Vila,TANGO,1932,1932-02-05,5,5,5,5,5,6,low,weak_walkability,general,genel,auto_heuristic_review_needed,Profil manuel kontrol edilmeli.,1932-02-05,Andrés Domenech,Ricardo Lleras,general,,TANGO,2.0,5.0,full,,,N,Y,Y,early_golden_age,5,5,5,5,5,,16
7c1edc60ad9e,Olvidao,Adolfo Carabelli,Charlo,TANGO,1932,1932-03-18,5,5,5,5,5,6,low,weak_walkability,general,genel,auto_heuristic_review_needed,Profil manuel kontrol edilmeli.,1932-03-18,Guillermo Barbieri,Enrique Cadícamo,general,,TANGO,3.0,18.0,full,,,N,Y,Y,early_golden_age,5,5,5,5,5,,17
